FlossId,StandardName,Color
493,53,Variegated Steel Gray
494,67,Variegated Baby Blue
495,69,Variegated Terra Cotta
496,90,Variegated Yellow
497,92,Variegated Avocado
498,93,Variegated Med Blue
499,94,Variegated Khaki Green
500,99,Variegated Mauve
501,105,Variegated Tan/Brown
502,106,Variegated Coral
503,107,Variegated Carnation
504,111,Variegated Mustard
505,115,Variegated Garnet
506,121,Variegated Delft Blue
507,125,Variegated Seafoam Green
